Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Date_Unix,Spread High-Low,Spread Close-Open,delta_Open,delta_High,delta_Low,delta_Close,delta_Spread High-Low,delta_Spread Close-Open,delta_Volume BTC,delta_Volume USD,MA_Close_24,MA_V_BTC_24,MA_Close_240,MA_V_BTC_240
2018-07-27 11-PM,BTCUSD,8250.0,8261.17,8133.04,8184.21,782.9,6402922.94,1532732400000000000,128.13,-65.79,4.29,11.17,-96.94,-65.79,108.11,-70.08,579.75,4728672.84,8015.68875,482.686667,7722.828708,469.39625
2018-07-28 12-AM,BTCUSD,8184.21,8211.0,8162.5,8162.62,218.32,1786864.35,1532736000000000000,48.5,-21.59,-65.79,-50.17,29.46,-21.59,-79.63,44.2,-564.58,-4616058.59,8026.93625,472.660833,7726.231208,468.985
2018-07-28 01-AM,BTCUSD,8162.62,8182.16,8153.01,8172.55,281.63,2300524.13,1532739600000000000,29.15,9.93,-21.59,-28.84,-9.49,9.93,-19.35,31.52,63.31,513659.78,8038.709167,467.78625,7729.720125,468.635667
2018-07-28 02-AM,BTCUSD,8172.55,8190.0,8166.0,8173.63,147.77,1208146.85,1532743200000000000,24.0,1.08,9.93,7.84,12.99,1.08,-5.15,-8.85,-133.86,-1092377.28,8051.614583,458.654583,7732.905125,466.264292
2018-07-28 03-AM,BTCUSD,8173.63,8173.63,8155.0,8156.31,104.9,856220.75,1532746800000000000,18.63,-17.32,1.08,-16.37,-11.0,-17.32,-5.37,-18.4,-42.87,-351926.1,8063.178333,451.22625,7735.785625,459.80275
2018-07-28 04-AM,BTCUSD,8156.31,8210.0,8156.3,8210.0,235.33,1926592.06,1532750400000000000,53.7,53.69,-17.32,36.37,1.3,53.69,35.07,71.01,130.43,1070371.31,8074.844583,452.986667,7739.002208,458.887333
2018-07-28 05-AM,BTCUSD,8210.0,8220.0,8174.04,8174.05,181.61,1490050.92,1532754000000000000,45.96,-35.95,53.69,10.0,17.74,-35.95,-7.74,-89.64,-53.72,-436541.14,8085.449167,455.27375,7741.981417,458.23025
2018-07-28 06-AM,BTCUSD,8174.05,8193.99,8173.77,8193.99,90.2,737641.31,1532757600000000000,20.22,19.94,-35.95,-26.01,-0.27,19.94,-25.74,55.89,-91.41,-752409.61,8097.3925,452.065,7745.017792,457.366375
2018-07-28 07-AM,BTCUSD,8193.99,8195.0,8175.55,8194.99,66.3,543039.29,1532761200000000000,19.45,1.0,19.94,1.01,1.78,1.0,-0.77,-18.94,-23.9,-194602.02,8109.267083,450.7775,7748.165208,456.676042
2018-07-28 08-AM,BTCUSD,8194.99,8203.81,8185.61,8198.19,58.56,480151.54,1532764800000000000,18.2,3.2,1.0,8.81,10.06,3.2,-1.25,2.2,-7.74,-62887.75,8119.071667,448.539167,7751.622458,454.453625
2018-07-28 09-AM,BTCUSD,8198.19,8198.2,8170.0,8185.0,58.68,480241.05,1532768400000000000,28.2,-13.19,3.2,-5.61,-15.61,-13.19,10.0,-16.39,0.12,89.51,8128.7425,447.52375,7754.893333,454.127542
2018-07-28 10-AM,BTCUSD,8185.0,8200.0,8174.0,8176.01,70.82,580018.31,1532772000000000000,26.0,-8.99,-13.19,1.8,4.0,-8.99,-2.2,4.2,12.14,99777.26,8137.9325,445.4825,7758.105833,453.4015
2018-07-28 11-AM,BTCUSD,8176.01,8205.85,8138.1,8179.99,346.35,2830859.21,1532775600000000000,67.75,3.98,-8.99,5.85,-35.9,3.98,41.75,12.97,275.53,2250840.9,8149.015417,450.28875,7761.3015,453.923292
2018-07-28 12-PM,BTCUSD,8179.99,8195.0,8170.87,8176.15,98.21,803755.03,1532779200000000000,24.13,-3.84,3.98,-10.85,32.77,-3.84,-43.62,-7.82,-248.14,-2027104.18,8163.563333,426.424167,7764.4145,452.465958
2018-07-28 01-PM,BTCUSD,8176.15,8190.0,8155.21,8155.21,102.74,840116.9,1532782800000000000,34.79,-20.94,-3.84,-5.0,-15.66,-20.94,10.66,-17.1,4.53,36361.87,8175.65125,399.929167,7767.360208,451.180875
2018-07-28 02-PM,BTCUSD,8155.21,8158.9,8110.0,8143.44,309.45,2517535.88,1532786400000000000,48.9,-11.77,-20.94,-31.1,-45.21,-11.77,14.11,9.17,206.71,1677418.98,8189.095,387.264167,7770.278583,448.169375
2018-07-28 03-PM,BTCUSD,8143.44,8143.45,8065.0,8107.45,323.08,2617475.12,1532790000000000000,78.45,-35.99,-11.77,-15.45,-45.0,-35.99,29.55,-24.22,13.63,99939.24,8187.550833,304.97625,7773.147042,446.400875
2018-07-28 04-PM,BTCUSD,8107.45,8179.47,8107.45,8179.46,211.88,1727408.53,1532793600000000000,72.02,72.01,-35.99,36.02,42.45,72.01,-6.43,108.0,-111.2,-890066.59,8187.32,257.085,7776.231833,445.720208
2018-07-28 05-PM,BTCUSD,8179.46,8210.0,8150.0,8181.0,209.77,1716813.05,1532797200000000000,60.0,1.54,72.01,30.53,42.55,1.54,-12.02,-70.47,-2.11,-10595.48,8187.52875,251.710833,7779.055875,443.322708
2018-07-28 06-PM,BTCUSD,8181.0,8195.66,8160.5,8188.09,155.01,1267141.3,1532800800000000000,35.16,7.09,1.54,-14.34,10.5,7.09,-24.84,5.55,-54.76,-449671.75,8184.016667,227.83,7782.231917,436.132667
2018-07-28 07-PM,BTCUSD,8188.09,8199.98,8188.09,8195.1,137.54,1127081.56,1532804400000000000,11.89,7.01,7.09,4.32,27.59,7.01,-23.27,-0.08,-17.47,-140059.74,8183.6175,207.769583,7785.565667,431.435875
2018-07-28 08-PM,BTCUSD,8195.1,8195.11,8163.8,8164.1,131.67,1076964.45,1532808000000000000,31.31,-31.0,7.01,-4.87,-24.29,-31.0,19.42,-38.01,-5.87,-50117.11,8181.135417,200.57375,7789.020458,426.149542
2018-07-28 09-PM,BTCUSD,8164.1,8170.2,8158.0,8169.0,91.27,745073.08,1532811600000000000,12.2,4.9,-31.0,-24.91,-5.8,4.9,-19.11,35.9,-40.4,-331891.37,8177.939167,192.380833,7792.530125,425.108958
2018-07-28 10-PM,BTCUSD,8169.0,8188.12,8169.0,8186.13,110.04,899676.84,1532815200000000000,19.12,17.13,4.9,17.92,11.0,17.13,6.92,12.23,18.77,154603.76,8175.277917,188.50125,7795.964042,422.832583
2018-07-28 11-PM,BTCUSD,8186.13,8230.0,8175.0,8228.9,250.46,2055036.94,1532818800000000000,55.0,42.77,17.13,41.88,6.0,42.77,35.88,25.64,140.42,1155360.1,8177.14,166.31625,7799.505333,422.389875
2018-07-29 12-AM,BTCUSD,8228.9,8289.96,8221.34,8251.87,572.15,4729472.85,1532822400000000000,68.62,22.97,42.77,59.96,46.34,22.97,13.62,-19.8,321.69,2674435.91,8180.85875,181.059167,7803.284833,423.631667
2018-07-29 01-AM,BTCUSD,8251.87,8260.87,8236.4,8260.87,157.86,1301783.18,1532826000000000000,24.47,9.0,22.97,-29.09,15.06,9.0,-44.15,-13.97,-414.29,-3427689.67,8184.53875,175.902083,7807.269875,422.598667
2018-07-29 02-AM,BTCUSD,8260.87,8280.0,8238.91,8244.6,217.99,1800739.02,1532829600000000000,41.09,-16.27,9.0,19.13,2.51,-16.27,16.62,-25.27,60.13,498955.84,8187.495833,178.827917,7811.09925,422.281708
2018-07-29 03-AM,BTCUSD,8244.6,8244.6,8218.02,8224.89,114.44,942187.06,1532833200000000000,26.58,-19.71,-16.27,-35.4,-20.89,-19.71,-14.51,-3.44,-103.55,-858551.96,8190.353333,179.225417,7814.8685,422.067208
2018-07-29 04-AM,BTCUSD,8224.89,8230.73,8185.01,8192.09,163.89,1345132.55,1532836800000000000,45.72,-32.8,-19.71,-13.87,-33.01,-32.8,19.14,-13.09,49.45,402945.49,8189.607083,176.24875,7818.522167,422.133583
2018-07-29 05-AM,BTCUSD,8192.09,8218.01,8192.08,8208.83,135.63,1113171.78,1532840400000000000,25.93,16.74,-32.8,-12.72,7.07,16.74,-19.79,49.54,-28.26,-231960.77,8191.05625,174.332917,7822.194,421.939458
2018-07-29 06-AM,BTCUSD,8208.83,8208.83,8204.31,8204.32,41.62,341493.99,1532844000000000000,4.52,-4.51,16.74,-9.18,12.23,-4.51,-21.41,-21.25,-94.01,-771677.79,8191.486667,172.30875,7825.791167,421.33075
2018-07-29 07-AM,BTCUSD,8204.32,8208.83,8177.0,8177.01,102.48,839726.32,1532847600000000000,31.83,-27.31,-4.51,0.0,-27.31,-27.31,27.31,-22.8,60.86,498232.33,8190.7375,173.81625,7829.391083,421.335042
2018-07-29 08-AM,BTCUSD,8177.01,8177.01,8138.7,8158.34,133.91,1091704.09,1532851200000000000,38.31,-18.67,-27.31,-31.82,-38.3,-18.67,6.48,8.64,31.43,251977.77,8189.077083,176.955833,7832.872375,421.642458
2018-07-29 09-AM,BTCUSD,8158.34,8174.15,8143.07,8160.22,57.72,470997.16,1532854800000000000,31.08,1.88,-18.67,-2.86,4.37,1.88,-7.23,20.55,-76.19,-620706.93,8188.044583,176.915833,7836.020375,420.7685
2018-07-29 10-AM,BTCUSD,8160.22,8160.23,8146.02,8146.03,48.25,393547.75,1532858400000000000,14.21,-14.19,1.88,-13.92,2.95,-14.19,-16.87,-16.07,-9.47,-77449.41,8186.795417,175.975417,7839.243417,420.344708
2018-07-29 11-AM,BTCUSD,8146.03,8160.92,8127.87,8160.92,82.23,669379.46,1532862000000000000,33.05,14.89,-14.19,0.69,-18.15,14.89,18.84,29.08,33.98,275831.71,8186.000833,164.970417,7842.360875,419.878583
2018-07-29 12-PM,BTCUSD,8160.92,8219.99,8160.91,8209.44,144.91,1187165.04,1532865600000000000,59.08,48.52,14.89,59.07,33.04,48.52,26.03,33.63,62.68,517785.58,8187.387917,166.91625,7845.662292,418.821292
2018-07-29 01-PM,BTCUSD,8209.44,8210.0,8176.86,8193.96,121.79,998330.41,1532869200000000000,33.14,-15.48,48.52,-9.99,15.95,-15.48,-25.94,-64.0,-23.12,-188834.63,8189.0025,167.71,7848.661708,415.966583
2018-07-29 02-PM,BTCUSD,8193.96,8229.65,8192.03,8214.24,331.08,2718770.64,1532872800000000000,37.62,20.28,-15.48,19.65,15.17,20.28,4.48,35.76,209.29,1720440.23,8191.9525,168.61125,7851.863875,414.719375
2018-07-29 03-PM,BTCUSD,8214.24,8224.99,8202.41,8221.23,118.04,969520.15,1532876400000000000,22.58,6.99,20.28,-4.66,10.38,6.99,-15.04,-13.29,-213.04,-1749250.49,8196.693333,160.067917,7855.375708,411.460458
2018-07-29 04-PM,BTCUSD,8221.23,8221.23,8166.0,8177.67,213.78,1750670.73,1532880000000000000,55.23,-43.56,6.99,-3.76,-36.41,-43.56,32.65,-50.55,95.74,781150.58,8196.61875,160.147083,7858.785042,410.5775
2018-07-29 05-PM,BTCUSD,8177.67,8194.4,8177.66,8191.29,114.36,936401.69,1532883600000000000,16.74,13.62,-43.56,-26.83,11.66,13.62,-38.49,57.18,-99.42,-814269.04,8197.0475,156.171667,7861.998792,408.3565
2018-07-29 06-PM,BTCUSD,8191.29,8212.45,8191.29,8209.99,127.84,1048185.93,1532887200000000000,21.16,18.7,13.62,18.05,13.63,18.7,4.42,5.08,13.48,111784.24,8197.96,155.039583,7865.33625,406.357375
